,accuracy,n_features,kind,removed_feature
299,0.5482481627072295,73,grand_raw,spectral_SH_skew
300,0.5154674414629978,72,grand_raw,rando_baseline_z_score
301,0.530439241155358,71,grand_raw,UH_sF2_mean
302,0.530439241155358,70,grand_raw,UH_sF2_max
303,0.530439241155358,69,grand_raw,UH_sF2_min
304,0.530439241155358,68,grand_raw,AW_sF1_min_first
305,0.530439241155358,67,grand_raw,AW_sF1_max_third
306,0.530439241155358,66,grand_raw,AW_sF1_mean_third
307,0.530439241155358,65,grand_raw,AW_sF1_mean_first
308,0.530439241155358,64,grand_raw,AW_sF1_min_third
309,0.530439241155358,63,grand_raw,AW_sF1_max_first
310,0.530439241155358,62,grand_raw,AW_sF2_mean_first
311,0.530439241155358,61,grand_raw,AW_sF3_max_third
312,0.530439241155358,60,grand_raw,AW_sF2_min_first
313,0.530439241155358,59,grand_raw,AW_sF2_mean_third
314,0.530439241155358,58,grand_raw,AW_sF2_max_first
315,0.530439241155358,57,grand_raw,AW_sF2_max_third
316,0.530439241155358,56,grand_raw,AW_sF2_min_third
317,0.530439241155358,55,grand_raw,AW_sF3_mean_first
318,0.530439241155358,54,grand_raw,AW_sF3_mean_third
319,0.530439241155358,53,grand_raw,AW_sF3_min_third
320,0.530439241155358,52,grand_raw,AW_sF3_min_first
321,0.530439241155358,51,grand_raw,AW_sF3_max_first
322,0.530439241155358,50,grand_raw,AW_sF4_min_first
323,0.530439241155358,49,grand_raw,AW_sF4_min_third
324,0.530439241155358,48,grand_raw,AW_sF4_mean_third
325,0.530439241155358,47,grand_raw,AW_sF4_mean_first
326,0.530439241155358,46,grand_raw,AW_avg_dur
327,0.530439241155358,45,grand_raw,AW_sF4_max_first
328,0.530439241155358,44,grand_raw,AW_sF4_max_third
329,0.5002563664330884,43,grand_raw,EL_avg_dur
330,0.48521620235857116,42,grand_raw,UH_sF4_mean
331,0.48521620235857116,41,grand_raw,UH_sF4_min
332,0.48521620235857116,40,grand_raw,UH_sF3_max
333,0.48521620235857116,39,grand_raw,UH_sF1_mean_dist
334,0.48521620235857116,38,grand_raw,UH_sF2_mean_dist
335,0.48521620235857116,37,grand_raw,UH_sF1_min
336,0.48521620235857116,36,grand_raw,UH_avg_dur
337,0.48521620235857116,35,grand_raw,UH_sF4_max
338,0.48521620235857116,34,grand_raw,UH_sF1_mean
339,0.48521620235857116,33,grand_raw,UH_sF4_mean_dist
340,0.48521620235857116,32,grand_raw,UH_sF3_mean_dist
341,0.48521620235857116,31,grand_raw,UH_sF3_mean
342,0.48521620235857116,30,grand_raw,UH_sF1_max
343,0.48521620235857116,29,grand_raw,UH_sF3_min
344,0.45493078106306617,28,grand_raw,OY_sF1_max_third
345,0.45493078106306617,27,grand_raw,OY_sF3_max_first
346,0.45493078106306617,26,grand_raw,OY_sF3_mean_third
347,0.45493078106306617,25,grand_raw,OY_sF2_mean_first
348,0.45493078106306617,24,grand_raw,OY_avg_dur
349,0.45493078106306617,23,grand_raw,OY_sF1_mean_first
350,0.45493078106306617,22,grand_raw,OY_sF1_mean_third
351,0.45493078106306617,21,grand_raw,OY_sF3_min_first
352,0.45493078106306617,20,grand_raw,OY_sF1_min_third
353,0.45493078106306617,19,grand_raw,OY_sF4_min_third
354,0.45493078106306617,18,grand_raw,OY_sF4_mean_third
355,0.45493078106306617,17,grand_raw,OY_sF3_max_third
356,0.45493078106306617,16,grand_raw,OY_sF3_mean_first
357,0.45493078106306617,15,grand_raw,OY_sF2_max_third
358,0.45493078106306617,14,grand_raw,OY_sF2_min_third
359,0.45493078106306617,13,grand_raw,OY_sF1_max_first
360,0.45493078106306617,12,grand_raw,OY_sF2_mean_third
361,0.45493078106306617,11,grand_raw,OY_sF4_max_third
362,0.45493078106306617,10,grand_raw,OY_sF1_min_first
363,0.45493078106306617,9,grand_raw,OY_sF2_min_first
364,0.45493078106306617,8,grand_raw,OY_sF4_mean_first
365,0.45493078106306617,7,grand_raw,OY_sF4_min_first
366,0.45493078106306617,6,grand_raw,OY_sF4_max_first
367,0.45493078106306617,5,grand_raw,OY_sF3_min_third
368,0.45493078106306617,4,grand_raw,OY_sF2_max_first
369,0.439890616988549,3,grand_raw,AR_avg_dur
370,0.439890616988549,2,grand_raw,H_avg_dur
371,0.439890616988549,1,grand_raw,ZH_avg_dur
